	name changed	name E	name D	synonyms D	category	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
11	Dried beans	Bean, green, dried	Bohne, grün, getrocknet	Dörrbohne	Vegetables	Gemüse/Gemüse getrocknet	1060	255	20.2	6	10.3	9.5	25.3	2
7	Avocado	Avocado, fresh	Avocado, roh		Vegetables	"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte"	600	145	1.8	76.4	0	0.8	3	14
9	Raw beans	Bean, green, raw	Bohne, grün, roh	Gartenbohne	Vegetables	Gemüse/Gemüse frisch	130	35	2.1	90.3	1.4	2.2	3.1	0
15	Chinese cabbage	Chinese cabbage, raw	Chinakohl, roh	"Pekingkohl;Selleriekohl;Japankohl"	Vegetables	Gemüse/Gemüse frisch	70	20	1.1	94.9	0	1.2	1.9	0
15	Iceberg lettuce	Iceberg lettuce, raw	Eisbergsalat, roh		Vegetables	Gemüse/Gemüse frisch	70	20	1	94.6	0	1.6	1.8	0
13	Cucumber, raw	Cucumber, raw	Gurke, roh	Salatgurke	Vegetables	Gemüse/Gemüse frisch	60	15	0.7	96	0.1	1.9	0.8	0
6	Carrot	Carrot, raw	Karotte, roh		Vegetables	Gemüse/Gemüse frisch	160	40	0.8	89.2	0.2	6.4	2.6	0
16	Butterh. lettuce	Butterhead lettuce, raw	Kopfsalat, roh		Vegetables	Gemüse/Gemüse frisch	60	15	1.2	95	0	1	1.6	0
15	Gr. Bell pepper	Bell pepper, green, raw	Peperoni, grün, roh		Vegetables	Gemüse/Gemüse frisch	90	20	0.8	92.9	0.1	2.5	2	0
15	Red Bell pepper	Bell pepper, red, raw	Peperoni, rot, roh		Vegetables	Gemüse/Gemüse frisch	140	35	0.9	91.3	0.1	5.1	2	0
11	Tomato, raw	Tomato, raw	Tomate, roh		Vegetables	Gemüse/Gemüse frisch	90	25	0.8	93.8	0	3.2	1.2	0
18	Sugar loaf chicory	Sugar loaf chicory, raw	Zuckerhutsalat, roh		Vegetables	Gemüse/Gemüse frisch	70	20	1.2	94.8	0	1.5	1.6	0
5	Onion	Onion, raw	Zwiebel, roh		Vegetables	Gemüse/Gemüse frisch	170	40	1.3	89	0	7	1.8	0
8	Marzipan	Marzipan	Marzipan		Sweets	Süssigkeiten/Sonstige Süssigkeiten	1960	470	6.1	1.9	0	68.6	4.9	18
8	Meringue	Meringue, biscuit	Meringue		Sweets	Süssigkeiten/Sonstige Süssigkeiten	1700	400	5	1	0	94	0	1
9	Croissant	Croissant filled with nuts, puff pastry	Nussgipfel aus Blätterteig		Sweets	Süssigkeiten/Sonstige süsse Backwaren	1730	420	6.6	28.3	19.1	13.8	2.6	27
8	Nut roll	Nut roll with yeast dough	Nussschnecke aus Hefeteig	Hefeschnecke	Sweets	Süssigkeiten/Sonstige süsse Backwaren	1850	445	12	8.6	40.8	13.1	3.8	19
12	Cocoa powder	Cocoa powder	Kakaopulver		Sweets	"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke"	1690	410	19.8	5.1	8.6	2.2	32.7	25
16	Chocolate powder	Chocolate powder	Schokoladenpulver		Sweets	"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke"	1690	405	6.3	1.7	0.7	70.6	10.5	8
13	Nut chocolate	Milk chocolate filled with nuts (chocolate bar)	Branchli (Milchschokolade mit Haselnusscrèmefüllung)	Schokoladenstängeli	Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2320	560	7.6	1.6	1	47.9	3.4	36
14	Milk chocolate	Milk chocolate	Milchschokolade		Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2240	540	6.5	1.3	0.6	55.2	1.9	31
14	Milk chocolate	Milk chocolate, filled with cream (gianduja, nougat)	Milchschokolade mit Crèmefüllung (Gianduja, Nougat)		Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2380	575	6.9	1.6	0.8	46.4	3.6	39
13	Nut chocolate	Milk chocolate with nuts	Milchschokolade mit Nüssen		Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2360	570	8.4	1.7	0.6	44.7	3.2	38
14	Dark chocolate	Chocolate, dark	Schokolade, dunkel (bitter)		Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2230	535	5.2	0.7	2.3	50	7	32
15	White chocolate	Chocolate, white	Schokolade, weiss		Sweets	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2370	570	6.8	1.3		55.3	0.2	35
9	Apple pie	Apple pie, baked (with puff pastry)	Apfelkuchen, gebacken (mit Blätterteig)	Apfelwähe	Sweets	"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"	600	145	2.3	72.5	6.9	9.5	1.7	7
11	Rhubarb pie	Rhubarb pie, baked (with puff pastry)	Rhabarberkuchen, gebacken (mit Blätterteig)	Rhabarberwähe	Sweets	"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"	470	115	2.5	79.3	6.9	2.5	2	7
13	Peanut butter	Peanut butter	Erdnussbutter		Sweets	Süssigkeiten/Konfitüren und süsse Brotaufstriche	2640	640	22.6	1.1	6	6.4	7.6	54
7	Nutella	Hazelnut-chocolate spread	Haselnuss-Schokolade-Brotaufstrich		Sweets	Süssigkeiten/Konfitüren und süsse Brotaufstriche	2280	550	5.8	1.2	0.6	54.8	2.9	33
3	Jam	Jam	Konfitüre	Marmelade	Sweets	Süssigkeiten/Konfitüren und süsse Brotaufstriche	1040	250	0.5	36	0	58.7	2.2	1
8	Amaretti	Amaretti (Almond cookie)	Amaretti (Mandelgebäck)		Sweets	Süssigkeiten/Guetzli	1900	455	7.6	0.7	1	75.7	3.2	12
15	Basler Leckerli	Basler Leckerli (Swiss biscuit from Basel)	Basler Leckerli		Sweets	Süssigkeiten/Guetzli	1700	405	6.9	6.3	23.2	52	3.2	8
7	Brunsli	Brunsli (chocolate cookie)	Brunsli		Sweets	Süssigkeiten/Guetzli	2050	495	12.7	9	4.9	38.2	7.9	29
13	Coco macaroon	Coco macaroon	Kokosmakronen		Sweets	Süssigkeiten/Guetzli	2300	555	5.9	5.4	0	35.8	12.7	40
15	Milanese cookie	Milanese cookie, butter, sweet	Mailänderli		Sweets	Süssigkeiten/Guetzli	1800	435	7.1	17.6	30.4	22.5	1.4	21
15	Cinnamon cookie	Cinnamon cookie, star-shaped	Zimtstern		Sweets	Süssigkeiten/Guetzli	2010	485	11.9	7	2	49	6.8	25
13	Hard caramels	Hard caramels	Hartkaramellen, Hartbonbons		Sweets	Süssigkeiten/Bonbons, Frucht- und Kaugummi	1630	385	0.5	4.1	0	95	0	0
7	Popcorn	Popcorn	Popcorn	Puffmais	Snacks	Salzige Snacks/Sonstige salzige Snacks	1550	370	12	4.1	61.7	1.2	15	4
14	Pretzel sticks	Pretzel sticks (dry lye pretzel)	Laugengebäck trocken (Bretzel, Sticks)		Snacks	Salzige Snacks/Salzsticks und Bretzel	1530	360	8.6	9	71.3	0.5	0.7	4
14	Tortilla chips	Tortilla chips, corn-based	Mais-Chips (Apérogebäck)		Snacks	Salzige Snacks/Chips	2130	510	7.8	2	53.6	2.4	4.4	27
12	Pommes Chips	Pommes Chips	Pommes Chips		Snacks	Salzige Snacks/Chips	2240	540	4.9	4.8	46.8	2.6	3.6	35
6	Walnut	Walnut	Baumnuss	Walnuss	Nuts	Nüsse, Samen und Ölfrüchte	3060	745	15.9	4.1	1.5	2	6.7	71
10	Cashew nut	Cashew nut	Cashewnuss	Cashewkern	Nuts	Nüsse, Samen und Ölfrüchte	2460	595	18.2	5.2	23.5	5.9	3.6	45
6	Peanut	Peanut	Erdnuss		Nuts	Nüsse, Samen und Ölfrüchte	2490	600	26	7	6.7	4	7.6	49
8	Hazelnut	Hazelnut	Haselnuss		Nuts	Nüsse, Samen und Ölfrüchte	2650	645	15.2	4	1.4	4.3	9.7	60
